DATABASE_NAME,SCHEMA_NAME,TABLE_NAME,COLUMN_NAME,DATA_TYPE,ORDINAL_POSITION
DATA_LAB_OLIDS_UAT,REFERENCE,BNF_LATEST,PRESENTATION_PACK_LEVEL,TEXT,1
DATA_LAB_OLIDS_UAT,REFERENCE,BNF_LATEST,VMP_VMPP_AMP_AMPP,TEXT,2
DATA_LAB_OLIDS_UAT,REFERENCE,BNF_LATEST,BNF_CODE,TEXT,3
DATA_LAB_OLIDS_UAT,REFERENCE,BNF_LATEST,BNF_NAME,TEXT,4
DATA_LAB_OLIDS_UAT,REFERENCE,BNF_LATEST,SNOMED_CODE,TEXT,5
DATA_LAB_OLIDS_UAT,REFERENCE,BNF_LATEST,DM_D_PRODUCT_DESCRIPTION,TEXT,6
DATA_LAB_OLIDS_UAT,REFERENCE,BNF_LATEST,STRENGTH,TEXT,7
DATA_LAB_OLIDS_UAT,REFERENCE,BNF_LATEST,UNIT_OF_MEASURE,TEXT,8
DATA_LAB_OLIDS_UAT,REFERENCE,BNF_LATEST,DM_D_PRODUCT_PACK_DESCRIPTION,TEXT,9
DATA_LAB_OLIDS_UAT,REFERENCE,BNF_LATEST,PACK,TEXT,10
DATA_LAB_OLIDS_UAT,REFERENCE,BNF_LATEST,SUB_PACK,TEXT,11
DATA_LAB_OLIDS_UAT,REFERENCE,BNF_LATEST,VTM,TEXT,12
DATA_LAB_OLIDS_UAT,REFERENCE,BNF_LATEST,VTM_NAME,TEXT,13
DATA_LAB_OLIDS_UAT,REFERENCE,BP_THRESHOLDS,THRESHOLD_RULE_ID,TEXT,1
DATA_LAB_OLIDS_UAT,REFERENCE,BP_THRESHOLDS,PROGRAMME_OR_GUIDELINE,TEXT,2
DATA_LAB_OLIDS_UAT,REFERENCE,BP_THRESHOLDS,DESCRIPTION,TEXT,3
DATA_LAB_OLIDS_UAT,REFERENCE,BP_THRESHOLDS,PATIENT_GROUP,TEXT,4
DATA_LAB_OLIDS_UAT,REFERENCE,BP_THRESHOLDS,THRESHOLD_TYPE,TEXT,5
DATA_LAB_OLIDS_UAT,REFERENCE,BP_THRESHOLDS,SYSTOLIC_THRESHOLD,NUMBER,6
DATA_LAB_OLIDS_UAT,REFERENCE,BP_THRESHOLDS,DIASTOLIC_THRESHOLD,NUMBER,7
DATA_LAB_OLIDS_UAT,REFERENCE,BP_THRESHOLDS,OPERATOR,TEXT,8
DATA_LAB_OLIDS_UAT,REFERENCE,BP_THRESHOLDS,NOTES,TEXT,9
DATA_LAB_OLIDS_UAT,REFERENCE,CHILDHOOD_IMMS_CODES,VACCINE,TEXT,1
DATA_LAB_OLIDS_UAT,REFERENCE,CHILDHOOD_IMMS_CODES,DOSE,TEXT,2
